지역, 온도, 습도 
강릉,21.3,82 
강진군,25.6,49 
강화,24.9,57 
거제,24.5,48 
거창,22.9,56 
경주시,24.3,47 
고산,23.9,66 
고창,24.2,64 
고창군,24.2,62 
고흥,24.4,51 
광양시,24.9,61 
광주,23.7,68 
구미,24.9,52 
군산,24.3,54 
금산,23.2,57 
김해시,25.2,54 
남원,24.4,51 
남해,24.7,59 
대관령,16.3,83 
대구,24.8,49 
대전,23.7,58 
동두천,25.8,47 
동해,23.5,62 
목포,24.5,61 
문경,24.9,56 
밀양,26.3,38 
백령도,25.0,49 
보령,26.1,46 
보성군,25.6,53 
보은,23.4,58 
봉화,21.5,60 
부산,23.9,48 
부안,24.7,59 
부여,24.5,56 
북강릉,19.0,93 
북부산,24.5,44 
북창원,25.7,46 
북춘천,25.7,48 
산청,24.1,56 
상주,24.6,64 
서귀포,24.6,57 
서산,24.8,54 
서울,27.0,43 
서청주,24.5,50 
성산,24.8,69 
세종,24.2,59 
속초,22.4,66 
수원,25.1,46 
순창군,24.7,49 
순천,24.6,52 
안동,25.0,51 
양산시,25.0,45 
양평,25.8,45 
여수,24.2,55 
영광군,25.0,52 
영덕,22.9,61 
영월,23.2,54 
영주,24.9,45 
영천,23.6,47 
완도,25.7,54 
울릉도,21.4,75 
울산,22.9,53 
울진,24.1,60 
원주,25.6,46 
의령군,26.3,50 
의성,25.6,48 
이천,24.7,55 
인제,20.7,77 
인천,26.1,44 
임실,23.5,59 
장수,22.3,53 
장흥,25.6,50 
전주,25.1,40 
정선군,21.1,64 
정읍,24.9,58 
제주,25.5,56 
제천,24.0,53 
진도군,24.8,47 
진주,26.0,54 
창원,25.1,45 
천안,24.7,51 
철원,24.5,55 
청송군,23.8,56 
청주,25.7,43 
추풍령,22.2,62 
춘천,25.8,45 
충주,25.3,48 
태백,17.7,73 
통영,24.9,50 
파주,26.1,56 
포항,23.7,57 
함양군,24.5,50 
합천,26.4,44 
해남,24.8,58 
홍성,24.7,54 
홍천,26.1,45 
흑산도,22.0,75 
